species	phenology lower	phenology upper	mean phenology	year	latitude	longitude	mean centre latitude	grid_50km	grid_5km	tray
oak	107	107	107	2001	50.75877393	-1.296746323	-1.87070685	1 8	19 89	NA
oak	123	123	123	2001	51.78449772	0.13841043	-0.844983056	4 10	42 109	NA
oak	117	117	117	2001	51.74695447	-2.283850493	-0.88252631	4 7	41 76	NA
oak	134	134	134	2001	54.5401507	-1.941234454	1.910669924	10 8	103 80	NA
oak	113	113	113	2001	51.47834209	0.011338551	-1.151138682	3 10	35 107	NA
oak	99	99	99	2001	52.70251909	1.274750929	0.073038318	6 12	63 124	NA
oak	113	113	113	2001	50.72189206	-3.324515615	-1.907588719	1 6	18 61	NA
oak	131	131	131	2001	55.22437885	-1.635264564	2.594898073	11 8	118 84	NA
oak	129	129	129	2001	51.4514439	-2.096370037	-1.178036872	3 7	34 78	NA
oak	133	133	133	2001	53.78204393	-2.05975648	1.152563153	8 7	86 79	NA
oak	142	142	142	2001	57.37137637	-2.650104588	4.741895596	16 7	166 72	NA
oak	116	116	116	2001	51.42602261	-0.324292563	-1.203458166	3 10	34 103	NA
oak	131	131	131	2001	52.3550899	-2.941103266	-0.274390879	5 6	54 67	NA
oak	131	131	131	2001	51.06069788	-0.148684972	-1.568782896	2 10	26 105	NA
oak	135	135	135	2001	50.73730377	-3.786955744	-1.892177008	1 5	18 54	NA
oak	130	130	130	2001	51.66819655	-1.083214725	-0.961284226	3 9	39 92	NA
oak	136	136	136	2001	51.26512404	-0.851892136	-1.364356732	3 9	30 96	NA
oak	132	132	132	2001	52.48976709	1.362798052	-0.139713688	5 12	58 125	NA
oak	144	144	144	2001	52.45178135	1.729421675	-0.177699429	5 13	58 130	NA
oak	103	103	103	2001	50.25820187	-3.823972327	-2.371278906	0 5	8 54	NA
oak	133	133	133	2001	51.54797369	-1.924037944	-1.081507089	3 8	36 81	NA
oak	132	132	132	2001	52.47333743	-3.489853109	-0.156143345	5 5	57 59	NA
oak	116	116	116	2001	50.10561341	-5.377344663	-2.523867361	0 3	5 31	NA
oak	142	142	142	2001	52.19055848	-4.109472561	-0.438922298	5 5	51 51	NA
oak	97	97	97	2001	51.43153827	-0.332722354	-1.197942507	3 10	34 103	NA
oak	119	119	119	2001	51.30823765	-2.255310073	-1.321243127	3 7	31 76	NA
oak	124	124	124	2001	50.86842854	0.568084036	-1.761052232	2 11	22 116	NA
oak	135	135	135	2001	54.28886825	-2.828924733	1.659387479	9 6	97 69	NA
oak	127	127	127	2001	52.92274085	-1.265184839	0.293260077	6 8	67 89	NA
oak	122	122	122	2001	51.83135005	-4.411953537	-0.798130725	4 4	43 46	NA
oak	120	120	120	2001	50.92167645	-0.099173058	-1.707804325	2 10	23 106	NA
oak	126	126	126	2001	51.40259191	-0.031855451	-1.226888864	3 10	33 107	NA
oak	116	116	116	2001	51.35292395	0.66116354	-1.276556827	3 11	32 117	NA
oak	131	131	131	2001	53.06348925	-2.450613465	0.434008475	7 7	70 73	NA
oak	132	132	132	2001	51.43605054	-2.749180333	-1.193430234	3 6	34 69	NA
oak	129	129	129	2001	52.09299809	-1.023446019	-0.536482684	4 9	48 93	NA
oak	128	128	128	2001	51.54364512	-0.185423273	-1.085835658	3 10	36 105	NA
oak	130	130	130	2001	51.48801018	-2.538602013	-1.141470598	3 7	35 72	NA
oak	112	112	112	2001	51.15261303	-2.707690956	-1.476867742	2 7	27 70	NA
oak	125	125	125	2001	52.61348971	1.280671722	-0.015991062	6 12	61 124	NA
oak	131	131	131	2001	52.79912396	0.655160868	0.169643183	6 11	65 115	NA
oak	121	121	121	2001	53.48685792	-0.331593125	0.85737715	8 10	80 102	NA
oak	122	122	122	2001	52.6256606	-2.004388824	-0.003820174	6 7	60 79	NA
oak	135	135	135	2001	53.17955732	-3.373183298	0.550076542	7 6	73 61	NA
oak	124	124	124	2001	51.60995982	-0.658000444	-1.019520959	3 9	38 98	NA
oak	123	123	123	2001	52.28827459	-0.319806798	-0.341206182	5 10	53 102	NA
oak	134	134	134	2001	50.79801502	-4.221457935	-1.831465753	2 4	20 48	NA
oak	128	128	128	2001	51.23725219	-1.172020137	-1.392228589	2 9	29 91	NA
oak	134	134	134	2001	52.60252428	-1.153005067	-0.026956496	6 9	60 91	NA
oak	116	116	116	2001	52.73057295	-1.748214989	0.101092175	6 8	62 83	NA
oak	140	140	140	2001	50.54338281	-4.002956522	-2.086097967	1 5	14 51	NA
oak	149	149	149	2001	50.4337596	-3.814067963	-2.195721174	1 5	12 54	NA
oak	133	133	133	2001	52.25812588	-0.225707342	-0.371354897	5 10	52 104	NA
oak	128	128	128	2001	52.48334808	1.303381447	-0.146132697	5 12	58 124	NA
