year,species,nest_date,hatch_date,fledge_date
2012,Pomarine_Jaeger,NA,18-07-28,NA
2014,Pomarine_Jaeger,18-06-25,18-07-24,NA
2015,Pomarine_Jaeger,18-06-17,NA,NA
2005,Parasitic_Jaeger,18-06-15,NA,NA
2008,Parasitic_Jaeger,18-06-23,NA,NA
2009,Parasitic_Jaeger,y,NA,NA
2011,Parasitic_Jaeger,NA,NA,18-07-28
2012,Parasitic_Jaeger,18-06-08,18-07-03,NA
2013,Parasitic_Jaeger,18-06-19,18-07-13,NA
2014,Parasitic_Jaeger,18-06-16,18-07-11,NA
2015,Parasitic_Jaeger,18-06-13,NA,NA
2017,Parasitic_Jaeger,18-06-18,18-07-23,NA
2018,Parasitic_Jaeger,18-06-19,NA,NA
2011,Long_tailed_Jaeger,18-07-05,NA,NA
2012,Long_tailed_Jaeger,18-06-30,18-07-02,NA
2011,Black_Guillemot,NA,18-07-17,NA
2015,Sabines_Gull,NA,NA,18-07-19
2011,Glaucous_winged_Gull,probable,18-07-16,NA
2005,Glaucous_Gull,18-06-08,NA,NA
2006,Glaucous_Gull,18-06-14,NA,NA
2009,Glaucous_Gull,18-07-01,y,y
2010,Glaucous_Gull,18-06-10,NA,NA
2015,Glaucous_Gull,18-06-11,NA,NA
2016,Glaucous_Gull,NA,18-06-28,NA
2017,Glaucous_Gull,18-06-08,NA,NA
2018,Glaucous_Gull,18-06-10,NA,NA
2008,Arctic_Tern,18-06-23,NA,NA
2011,Arctic_Tern,18-06-30,NA,NA
2013,Arctic_Tern,NA,NA,18-07-31
2018,Arctic_Tern,NA,18-07-22,NA
2007,Red_throated_Loon,18-06-27,NA,NA
2008,Red_throated_Loon,18-06-24,18-07-30,NA
2009,Red_throated_Loon,18-06-28,18-08-08,NA
2011,Red_throated_Loon,18-06-27,18-07-17,NA
2013,Red_throated_Loon,18-06-27,18-07-19,18-08-27
2015,Red_throated_Loon,y,NA,NA
2016,Red_throated_Loon,NA,18-07-16,NA
2018,Red_throated_Loon,18-07-05,18-07-23,NA
2005,Pacific_Loon,18-07-08,NA,NA
2007,Pacific_Loon,18-06-27,NA,18-07-19
2008,Pacific_Loon,18-06-22,18-07-15,NA
2009,Pacific_Loon,18-06-29,18-07-21,NA
2010,Pacific_Loon,18-06-27,NA,NA
2011,Pacific_Loon,NA,18-07-24,NA
2012,Pacific_Loon,18-07-24,18-07-30,NA
2013,Pacific_Loon,18-07-09,18-07-21,NA
2014,Pacific_Loon,18-07-11,18-07-22,NA
2015,Pacific_Loon,NA,18-07-19,NA
2016,Pacific_Loon,18-06-15,18-07-16,NA
2017,Pacific_Loon,18-06-28,NA,NA
2005,Snowy_Owl,NA,18-06-28,NA
2008,Snowy_Owl,18-06-08,18-07-01,NA
2011,Snowy_Owl,18-06-20,18-06-25,NA
2012,Snowy_Owl,18-05-25,18-06-23,NA
2014,Snowy_Owl,18-05-26,18-06-24,NA
2015,Snowy_Owl,18-05-27,18-07-01,NA
