YEAR,SEX,BIRTH_DATE,FAMILY,EARLY_SURVIVAL
105,1,118.5,0,0
105,2,123,0,0
105,1,124,0,1
105,1,124,0,1
105,2,125,0,0
105,1,125,0,0
105,1,125,0,1
105,1,130,0,1
105,1,131,0,1
105,2,132,0,1
105,1,133,0,0
105,2,133,0,1
105,1,134,0,0
105,1,134,0,0
105,1,134,0,0
105,1,134,0,1
105,1,135,0,0
105,1,136,0,0
105,1,136.5,0,0
105,1,138,0,0
105,2,138,0,0
105,1,138,0,1
105,2,139,0,1
105,2,140,0,0
105,2,140,0,0
105,1,140.5,0,0
105,1,142,0,0
105,1,142,0,1
105,1,145,0,0
105,1,153,0,0
105,2,120,197,0
105,2,120,197,1
105,2,124,198,0
105,1,124,198,1
105,2,126,199,0
105,1,126,199,0
105,2,129,200,0
105,1,129,200,0
105,1,131,201,0
105,2,131,201,1
105,1,133,202,0
105,2,133,202,1
105,2,133,203,0
105,1,133,203,1
105,1,134,204,1
105,1,134,204,1
105,1,135,205,0
105,2,135,205,1
105,1,134,206,1
105,1,134,206,1
105,2,134,207,0
105,2,134,207,1
105,1,135,208,0
105,1,135,208,1
105,1,132.5,209,0
105,2,132.5,209,0
105,1,140,210,0
105,1,140,210,1
105,2,140,211,0
105,2,140,211,1
105,1,144,212,0
105,1,144,212,0
105,1,145,213,0
105,2,145,213,0
105,2,149,214,0
105,1,149,214,0
106,1,124,0,1
106,1,133,0,0
106,1,133,0,0
106,1,133,0,0
106,1,134,0,0
106,2,135,0,0
106,1,136,0,0
106,1,137,0,0
106,2,140,0,0
106,1,141,0,1
106,2,143,0,1
106,2,144,0,0
106,1,144,0,1
106,1,145,0,0
106,1,145,0,0
106,1,145,0,0
106,2,146,0,0
106,1,147,0,0
106,2,149,0,0
106,1,155,0,0
106,2,121,215,0
106,1,121,215,1
106,1,124,216,0
106,1,124,216,1
106,1,126,217,0
106,2,126,217,1
106,1,132,218,0
106,1,132,218,1
106,1,133,219,0
106,2,133,219,1
106,1,136,220,0
106,1,136,220,0
106,1,137,221,0
106,2,137,221,0
106,1,137,221,0
106,2,136,222,0
106,1,136,222,0
106,2,140,223,0
106,2,141,223,0
106,1,146,224,0
106,2,146,224,1
106,2,143,225,0
106,2,143,225,1
106,1,151,226,0
106,2,151,226,0
107,1,126,0,0
107,1,128,0,0
107,1,130,0,1
107,1,131,0,0
107,2,132,0,0
107,2,133,0,0
107,1,134,0,0
107,2,134,0,0
107,2,134,0,0
107,NA,135,0,0
107,2,136,0,0
107,2,136,0,1
107,2,137,0,0
107,2,138,0,0
107,1,138,0,0
107,2,139,0,0
107,1,142,0,0
107,2,142,0,0
107,1,128,227,1
107,1,128,227,1
107,1,128,228,0
107,2,128,228,1
107,2,136,229,0
107,2,136,229,0
107,2,131,230,0
107,1,131,230,0
107,2,128,231,1
107,1,128,231,1
107,1,135,232,0
107,2,135,232,1
107,1,141,233,0
107,2,141,233,0
107,2,140,234,0
107,1,140,234,0
107,2,140,235,1
107,2,140,235,1
107,2,144,236,0
107,2,144,236,1
107,2,148,237,0
107,2,148,237,0
108,2,131,0,1
108,1,133,0,0
108,2,133,0,1
108,2,140,0,1
108,2,141,0,0
108,2,124,238,1
108,1,124,238,1
108,2,123,239,0
108,1,123,239,1
108,2,127,240,1
108,2,134,240,1
108,1,131,241,0
108,2,131,241,1
108,1,131,242,1
108,2,131,242,1
108,2,137,243,0
108,1,137,243,1
108,1,138,244,0
108,1,138,244,0
108,1,136,245,0
108,1,136,245,1
108,1,148,246,0
108,2,148,246,0
108,2,150,247,0
108,1,150,247,0
108,2,149,248,0
108,2,149,248,0
109,1,118,0,0
109,2,119,0,0
109,2,126,0,1
109,2,129,0,1
109,2,130,0,0
109,1,132,0,0
109,2,132,0,1
109,1,133,0,0
109,1,134,0,0
109,2,136,0,0
109,1,137,0,0
109,2,142,0,0
109,1,142,0,0
109,1,145,0,0
109,2,145,0,0
109,1,149,0,0
109,1,125,249,0
109,2,125,249,1
109,1,125,250,0
109,2,125,250,0
109,2,130,251,0
109,2,130,251,1
109,1,129,252,0
109,1,129,252,1
109,1,134,253,0
109,1,134,253,0
109,2,132,254,0
109,2,132,254,0
109,1,131,255,0
109,1,131,255,1
109,1,133,256,0
109,1,133,256,0
109,1,132,257,1
109,2,132,257,1
109,1,133,258,0
109,1,133,258,0
109,1,145,259,0
109,1,145,259,0
109,2,149,260,0
109,1,149,260,1
109,2,141,261,0
109,2,141,261,0
110,1,112,0,0
110,2,121,0,0
110,2,123,0,0
110,2,123.5,0,1
110,2,126,0,0
110,2,126,0,1
110,1,128.5,0,1
110,2,129,0,0
110,2,129,0,0
110,1,130,0,1
110,1,132.5,0,1
110,2,132.5,0,1
110,1,134,0,0
110,1,134,0,0
110,2,134,0,1
110,2,135,0,1
110,1,135,0,1
110,1,136,0,1
110,1,138,0,1
110,1,138.5,0,1
110,1,141,0,1
110,1,153,0,0
110,1,121,262,0
110,1,121,262,1
110,1,125,263,0
110,2,125,263,0
110,2,128,264,0
110,1,128,264,0
110,1,130.5,265,0
110,2,130.5,265,1
110,2,131,266,0
110,1,131,266,1
110,1,126,267,0
110,1,126,267,1
110,2,134,268,0
110,1,134,268,0
110,1,130,269,1
110,2,134,269,0
110,2,139,270,0
