book_page,year,site,bander,date,time,nestID,unique_nestID,plot,plotLmt,band,species,chick_egg_number,recap_witn_year,stage_of_capt,ul,ll,ur,lr,gfe,rel_status,dead,culmen,tarsus,wing,weight,cone_wt,final_wt,est_age,lat,long,blood,genetic_blood_capillary_tube,genetic_blood_preservative,stable_isotope,buccal,color,gut,radio_transmitter,comments
NA,2003,barr,breed2003,03-07-12,NA,dunl312,03dunl312,brw3,out,168180648,dunl,chick2,n,nest,"gf,r",-,-,m,NA,band/rel,n,10.8,23.8,NA,NA,NA,6.5,0,71.26023,-156.53051,30,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-12,NA,dunl312,03dunl312,brw3,out,168180649,dunl,chick3,n,nest,"gf,r",-,-,m,NA,band/rel,n,10.6,23.9,NA,NA,NA,7.5,0,71.26023,-156.53051,45,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-12,NA,dunl312,03dunl312,brw3,out,168180650,dunl,chick4,n,nest,"gf,r",-,-,m,NA,band/rel,n,11,22.8,NA,NA,NA,7.5,0,71.26023,-156.53051,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-12,NA,reph206,03reph206,brw3,in,168180651,reph,chick1,n,nest,-,r,m,-,NA,band/rel,n,8.2,19.1,NA,NA,NA,6,1,71.26811,-156.52814,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-12,NA,reph206,03reph206,brw3,in,168180652,reph,chick2,n,nest,-,r,m,-,NA,band/rel,n,7.6,20,NA,NA,NA,5.5,1,71.26811,-156.52814,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-12,NA,reph206,03reph206,brw3,in,168180653,reph,chick3,n,nest,-,r,m,-,NA,band/rel,n,8.4,20.4,NA,NA,NA,6,1,71.26811,-156.52814,60,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-12,NA,reph206,03reph206,brw3,in,168180654,reph,chick4,n,nest,-,r,m,-,NA,band/rel,n,8.4,18.9,NA,NA,NA,5.5,1,71.26811,-156.52814,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-12,NA,pesa014,03pesa014,brw2,in,168180655,pesa,chick1,n,nest,-,r,m,-,NA,band/rel,n,11.2,23.7,NA,NA,NA,8.5,0,71.29498,-156.64452,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-12,NA,pesa014,03pesa014,brw2,in,168180656,pesa,chick2,n,nest,-,r,m,-,NA,band/rel,n,11.8,23.2,NA,NA,NA,8.5,0,71.29498,-156.64452,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-12,NA,pesa014,03pesa014,brw2,in,168180657,pesa,chick3,n,nest,-,r,m,-,NA,band/rel,n,11,24.3,NA,NA,NA,8,0,71.29498,-156.64452,20,NA,NA,NA,NA,NA,NA,NA,NA
