1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,YEAR,DC_DISTANCE TO CENTER,MASS(g),PK_PEAK HEIGHT,HD_HATCHING DATE,HD_HATCHING DATE2,SYN_SYNCHRONY,SYN2_SYNCHRONY2
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2849.256921,10.2,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2849.256921,11.8,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2849.256921,10.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2849.256921,11,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1310.844766,8.2,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1310.844766,10.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1310.844766,9.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2076.093688,10.2,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2076.093688,9.2,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2076.093688,8.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2076.093688,9.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1764.149937,11,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1764.149937,10.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1764.149937,10.2,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1764.149937,12.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2673.467598,11,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2673.467598,10.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2673.467598,11.2,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2673.467598,12,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2673.467598,10.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2673.467598,11,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1184.294305,10,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1184.294305,10.3,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1184.294305,10.2,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1184.294305,10.3,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1184.294305,9.9,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1184.294305,9.7,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1184.294305,10,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,583.177503,10.3,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,583.177503,9.9,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,583.177503,10.8,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,583.177503,11.1,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,583.177503,11,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,583.177503,11,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1862.69509,9.2,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1862.69509,10.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1862.69509,10,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1862.69509,9.2,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1862.69509,9.2,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1862.69509,9.25,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1651.899513,11,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1651.899513,11.2,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1651.899513,11.2,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1651.899513,11.8,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1651.899513,10.8,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1651.899513,11.2,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1651.899513,11,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1651.899513,10,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1983.500441,9.25,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1983.500441,11,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1983.500441,9.2,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1983.500441,11.2,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1983.500441,9.8,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1983.500441,11.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2213.961382,11.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2213.961382,12.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2213.961382,12.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2213.961382,11.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2213.961382,11,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2213.961382,11.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2133.470412,10.8,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2133.470412,10.8,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2133.470412,10.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2133.470412,10.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2133.470412,10.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2133.470412,10.2,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2133.470412,10,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2481.448972,9.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2481.448972,10.2,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2481.448972,10,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2481.448972,11,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2481.448972,12.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2481.448972,11.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2481.448972,10.5,0.15877875,-0.311827957,0.097236675,-6,36
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2630.930824,10,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2630.930824,10.3,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2630.930824,11.2,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2630.930824,8.8,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2630.930824,9.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2630.930824,10,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2630.930824,10.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2382.832978,9,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2382.832978,10.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2382.832978,9.8,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2382.832978,9,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2382.832978,9,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,871.8726971,11.7,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,871.8726971,11.2,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,871.8726971,10,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,871.8726971,10.1,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,871.8726971,10.1,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,871.8726971,10.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,871.8726971,10.7,0.15877875,0.688172043,0.473580761,-5,25
