,id,year,birth,weight,onset_autumn,onset_spring,reproductive_status,agecl2,agecl3,demo,democrash,democrashlag,crash,crashlag
165,150,2008,146.2413258,0.066666667,289,112,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
166,151,2008,129.6296655,0.0625,289,112,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
167,152,2008,144.9912428,0.25,289,112,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
168,154,2008,124.9063571,0.142857143,289,112,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
169,155,2008,132.763237,0.047619048,289,112,no young,2-3-yrs old,1prim,aprs2002,aprs2003,aprs2003,other years,autres
170,103,2009,121.9682817,0.142857143,288,109,with young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
171,109,2009,135.6754388,0.142857143,288,109,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
172,111,2009,137.8228856,0.090909091,288,109,with young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
173,130,2009,146.6546462,0.0625,288,109,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
174,136,2009,119.7613381,0.090909091,288,109,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
175,141,2009,131.5053812,1,288,109,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
176,144,2009,112.2206284,0.25,288,109,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
177,145,2009,135.6754388,0.142857143,288,109,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
178,146,2009,124.7112398,0.055555556,288,109,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
179,151,2009,125.8387836,0.076923077,288,109,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
180,152,2009,123.4863403,0.032258065,288,109,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
181,155,2009,137.4125807,0.083333333,288,109,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
182,161,2009,183.9132968,0.125,288,109,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
183,167,2009,131.034296,0.038461538,288,109,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
184,168,2009,121.3537313,0.166666667,288,109,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
185,171,2009,161.6400357,0.052631579,288,109,with young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
186,172,2009,135.2767672,0.055555556,288,109,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
187,173,2009,133.2306334,0.0625,288,109,with young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
188,176,2009,192.4676458,0.071428571,288,109,with young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
189,60,2009,121.3537313,0.166666667,288,109,with young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
